judul,penulis,dp1,dp2,abstrak
Rancang Bangun Game Metamorph Menggunakan Cocos2d-x Framework Berbasis Android, FAHRUR ROZI," Arik Kurniawati, S.Kom., M.Kom.","Yonathan Ferry Hendrawan, S.T., MIT.","Game pembelajaran metamorfosis selanjutnya disebut metamorph merupakan salah satu game edukasi biologi. game ini dapat membantu pemain dalam belajar proses metamorfosis. game metamorph ini menyerupai game 2048, penjumlahan antar kotak yang kemunculannya diatur secara acak. akan tetapi pada game metamorph terdapat fitur pembeda yaitu pembelajaran metamorfosis. android dapat digunakan sebagai media game. baik itu untuk membuat game maupun untuk bermain game. pada penelitian ini, game metamorph dibangun menggunakan framework cocos2d-x dengan bahasa pemrograman c++.  sedangkan media implementasi yang dipilih adalah smartphone yang berbasis android. penelitian ini dilakukan untuk mengetahui hasil implementasi menggunakan framework cocos2d-x. cocos2d-x framework adalah engine yang memiliki banyak class. pengambilan keputusan nilai kotak dan posisinya diatur oleh class random yang telah disediakan oleh cocos2d-x framework. setelah itu dilakukan runut balik untuk menentukan nilai dan posisi kotak berikutnya. dari penelitian ini diperoleh kesimpulan bahwa cocos2d-x framework dapat digunakan sebagai mesin pembangun game metamorph.  game dapat berjalan dengan lancar dan tampilan yang tetap proporsional ketika dilakukan uji coba pada beberapa device."
"PERAMALAN HARGA SAHAM MENGGUNAKAN
ALGORITMA BACKPROPAGATION MOMENTUM DENGAN AUTOKORELASI ARIMA
", Dwi Putri Aminingtias," M. Kautsar S.,S.Kom.,M.MT.","Mula’ab,S.Si., M.Kom.","Masalah utama yang dimiliki seorang investor adalah dengan adanya fluktuasi harga saham yang dinamis dan selalu berubah setiap hari. perubahan tersebut dapat membuat seorang investor kebingungan dalam memilih saham mana yang harus dibeli dan saham yang harus dijual. sektor telekomunikasi salah satunya yang persaingannya sangat tinggi seperti xl axiata, indosat, telkomsel, dan smartfren. dengan adanya prediksi harga saham menggunakan metode neural network algoritma backpropagation dengan momentum. data dari harga saham dapat ditentukan berdasarkan runtunan waktu (time series). dengan algoritma ini, jaringan-jaringan dapat dilatih dengan menggunakan data harga saham dari situasi sebelumnya, sehingga dapat membantu para investor pengambilan keputusan periode berikutnya.berdasarkan hasil peramalan harga saham menggunakan backpropagation momentum dengan autokorelasi arima menghasilkan nilai rata-rata akurasi sebesar 98%, dengan mse terkecil 0.02 dan mape 0.59. selisih error yang dihasilkan jaringan menggunakan autokorelasi lebih akurat dibandingkan peramalan tanpa menggunakan autokorelasi, mape yang dihasilkan sebesar 0.14%  kata kunci : jaringan syaraf tiruan, backpropagation, arima  ,momentum  prediksi harga saham. ?  "
PENERAPAN METODE SIMPLE MULTI – ATTRIBUTE RATING TECHNIQUE UNTUK PENENTUAN POSISI PEMAIN SEPAK BOLA (Studi Kasus : Sekolah Sepak Bola El Faza Surabaya) , Mohammad Muzakki," Sigit Susanto Putro, S.Kom., M.Kom.","Achmad Jauhari, S.T., M.Kom.",-
Sistem Temu Kembali Citra Berdasarkan Isi Berbasis Kuantisasi Menggunakan Euclidean Distance, Prafa Inanda," Dr. Indah Agustien S., S.Kom., M.Kom","Mula'ab, S.Si., M.Kom","Citra, salah satu sumber informasi yang paling cepat dipahami oleh mata kita. hal ini menyebabkan jumlah citra terus bertambah untuk memenuhi kebutuhan informasi. sistem temu kembali citra merupakan teknik yang dikembangkan untuk mempermudah pencarian citra. sistem temu kembali citra merupakan sistem pencarian citra yang berdasarkan fitur utama dari citra. fitur utama, yaitu warna, tekstur, bentuk, atau informasi yang lain pada citra. sistem temu kembali citra menerima input berupa citra dan akan mengembalikan beberapa citra yang relevan. citra input akan diekstraksi fiturnya menggunakan metode sesuai dengan fitur apa yang akan digunakan. setelah ekstraksi fitur, maka proses selanjutnya merupakan pengukuran jarak kemiripan.  pada penelitian ini input berupa citra warna rgb. citra inputan kemudian dikonversi menjadi citra hsv. tahap selanjutnya kuantisasi warna citra hsv. tahap terakhir pengukuran jarak kemiripan antara citra query yang telah terkuantisasi dengan citra database menggunakan euclidean distance. pengujian pada sistem akan dilakukan dalam tiga skenario dalam penentuan jumlah data training dan data query. pada akhir penelitian tingkat akurasi sistem dihitung dengan recall dan precision untuk masing – masing skenario. tingkat akurasi tertinggi didapatkan pada skenario ii dengan  recall 0,42 dan precision 0,5."
"EFEKTIFITAS PENERAPAN 
LINEAR CONGRUENT METHOD (LCM) 
UNTUK PENGACAKAN SOAL PADA UJIAN ONLINE 
", Siti Munawaroh ," Achmad Jauhari, S.T., M.Kom.","Imamah, S.Kom, M.Kom.","Kecanggihan teknologi semakin berkembang, maka perlu bagi kita memanfaatkannya dalam segala struktur kehidupan, salah satunya adalah pendidikan. melihat studi kasus yang banyak terjadi saat ini, dimana pelaksanaan ujian secara konvensional dianggap kurang efektif dan efisien karena membutuhkan biaya yang besar, membutuhkan waktu yang lama dalam pelaksanaannya dan rentan terjadi kecurangan siswa sehingga perlu dilakukan perbaikan dengan mengubah sistem ujian berbasis komputer.  dalam setiap pelaksanaan ujian perlu memperhatikan tindak kecurangan yang dilakukan siswa berupa mencontek dan kerja sama bertukar jawaban, sehingga ujian bisa lebih efektif. maka dengan permasalahan di atas ini, sangat penting sekali dibuat sebuah sistem ujian yang bisa menghasilkan lulusan yang bermutu dengan mengandalkan kejujuran. salah satu cara yang bisa ditempuh adalah dengan mengubah system ujian  dengan mengacak soal-soal ujian tersebut  menggunakan metode-metode pengacakan yang tersedia, yaitu linear congruent method (lcm),  untuk mengacak soal ujian  tiap masing-masing peserta sehingga soal yang muncul untuk masing-masing peserta tidak ada yang sama, juga tidak membutuhkan lagi system paket sebagaimana sekarang. maka dengan system penerapan lcm sebagai metode pengacakan soal pada ujian online seperti ini akan mengurangi kecurangan pada siswa dan lebih efektif bagi siswa dalam melakukan ujian online.   kata kunci : metode lcm (linear congruent method), pengacakan soal"
IMPLEMENTASI LOCATION BASED SERVICE UNTUK MONITORING AKTIVITAS SALES (STUDI KASUS : PT FASTRATA BUANA PAMEKASAN), Baghas RHamadaPutra Sirait," Cucun Very Angkoso,S.T., M.T.","Ari Kusumaningsih, S.T., M,T.","Dalam pt fastrata buana pamekasan terdapat sales yang akan langsung berhubungan dengan pelanggan. pt. fastra buana memiliki permasalahan mengenai keberadaan sales di saat jam bekerja di lapangan untuk melakukan transaksi barang terhadap toko pelanggan.  dalam hal tersebut kemungkinan adanya  kecurangan dengan tidak adanya monitoring aktivitas yang dilakukan oleh sales dan kemungkinan terjadi data transaksi yang telah di tulis akan hilang. untuk melakukan permasalahan diatas maka memberikan anternatif pemecahan masalah dengan membuat aplikasi implementasi location based service untuk monitoring aktivitas sales menggunakan teknologi global positioning system, layanan informasi yang dapat diakses melalui mobile device dengan menggunakan network untuk memanfaatkan lokasi dari mobile device tersebut. dari penelitian yang dilakukan telah dapat disimpulkan bahwa telah mengurangi tingkat kecurangan sales saat bekerja, dapat mengetahui letak posisi sales, meningkatkan kinerja, serta mengurangi kehilangan data yang telah dilakukan saat bekerja. dari hasil uji coba mekanisme pengujian location based service pada device terdapat 10 kali pengujiaan, menggunakan teknologi location based service sangat cocok digunakan untuk monitoring sales dan data akan terkirim secara realtime"
Identifikasi Penderita Epilepsi Menggunakan Haar Wavelet pada Data Electroencephalogram, Agri Yudo Pratama," Dr. Arif Muntasa, S.Si., M.T.","Dr. Indah Agustien S., S.Kom., M.Kom","Epilepsi adalah penyakit kelainan saraf pada otak. menyerang manusia tanpa ada tanda – tanda akan terjadinya serangan epilepsi pada penderita. epilepsi adalah penyakit yang bisa diturunkan oleh gen. factor pembawa epilepsi bisa berasal dari orangtua. penyebab dari epilepsi masih belum diketahui  epilepsi dapat dicegah semenjak dini mulai dari perawatan yang mahal ataupun murah di bidang medis. jika epilepsi tidak bisa ditangani melalui pengobatan medis, maka operasi atau neurostimulation lah solusi terakhir. dengan adanya penelitian ini, bertujuan untuk meng-identifikasi seseorang apakah teridentifikasi sebagai penderita atau tidak. electroencephalogram(eeg) adalah metode untuk merekam informasi aktifitas otak pada manusia. digunakan 3750 sampel yang akan dilakukan ekstraksi fitur menggunakan haar wavelet. dilakukan proses untuk menguraikan sinyal kedalam 3 level yang disebut decompose level. selanjutnya dilakukan proses klasifikasi dengan menggunakan metode euclidean distance untuk mendapatkan klasifikasi data. proses selanjutnya akan dicari nilai akurasi penelitian menggunakan haar wavelet dengan tiap decompose level menggunakan confusion matrix.  penelitian menghasilkan jangkauan nilai akurasi dari 78.80% - 78.97% dan menyimpulkan bahwa pengaruh decompose level terdapat pada waktu komputasi yang diperlukan"
SELEKSI FITUR MENGGUNAKAN GENETIC ALGORITHM (GA) PADA DATA ELECTROENCEPHALOGRAM (EEG) UNTUK IDENTIFIKASI EPILEPSI, Makinul Mujahid Ahmad," Dr. Arif Muntasa, S.Si.,M.T.","Dr. Indah Agustien S, S.Kom,M.Kom.",Electroencephalogram (eeg) merupakan teknik perekaman gelombang otak manusia melalui elektroda yang dipasang pada kulit kepala manusia. hasil dari data sinyal yang didapat dapat digunakan sebagai identifikasi penderita epilepsi. data yang digunakan dalam penelitian ini adalah data the bern-barcelona eeg database dengan 2 jenis data yaitu 5 subjek data focal dan 5 subjek data non-focal. setiap subjek direkam dengan menggunakan 64 channel (penangkap sinyal) dan direkam dengan sampel 1024 hz. pada penelitian ini terdapat tiga tahap yang dilakukan. tahap pertama ekstrasi fitur menggunakan time and frequency distribution. tahap kedua seleksi fitur menggunakan genetic algorithm. dan tahap ketiga klasifikasi menggunakan naïve bayes. hasil yang didapat dari percobaan adalah seleksi fitur memiliki pengaruh dalam sistem yaitu menambah tingkat akurasi dengan akurasi tertinggi mencapai 87.6 %.
, Surya Ade Putra," Sigit Susanto Putro, S.Kom., M.Kom.","Achmad Jauhari, S.T., M.Kom.",
Sistem Pendukung Keputusan Pemilihan Pemain Bola Voli Menggunakan Metode SMART, Moh. Fauzan Anwar," Sigit Susanto Putro, S.Kom., M.Kom.","Achmad Jauhari, S.T., M.Kom.","Peningkatan pembinaan pemain bola voli terutama ditingkat daerah sangat diperlukan untuk menghasilkan pemain bola voli berkualitas. penyeleksian pemain secara subjektifitas akan menghambat regenerasi pemain bola pada masa yang akan datang. di dalam tim bola voli terdapat seorang pelatih yang memilih pemain bola voli untuk masuk dalam sebuah tim yang dibentuknya. tugas ini yang membuat pelatih bola voli pbvsi kabupaten sumenep kesulitan memilih pemain berkualitas. berdasarkan permasalahan tersebut, perlu ada tes dan sebuah sistem pendukung keputusan agar pelatih dapat dengan mudah memilih pemain yang tepat. dengan sistem pendukung keputusan metode smart diharapkan pelatih khususnya pbvsi kabupaten sumenep lebih mudah mendapatkan pemain yang berkualitas baik. hasil dari penilaian seleksi menggunakan metode smart menghasilkan nilai akurasi sebesar 62,5%, nilai akurasi di dapatkan dari hasil perbandingan antara data hasil perhitungan sistem dengan data rekomendasi dari pelatih."
, Nanda Yana Mardika," Sigit Susanto Putro, S.Kom., M.Kom.","Dr. Arif Muntasa, S.Si., M.T.",
Sistem Informasi Geografis Pemetaan Potensi Usaha Mikro Kecil dan Menengah (UMKM) di Bangkalan, Imam Mulyadi," Mula'ab, S.Si., M.Kom.","Eza Rahmanita, S.T., M.T.","Kabupaten bangkalan merupakan salah satu kabupaten yang mempunyai potensi usaha mikro kecil dan menengah (umkm) yang cukup banyak. tercatat ada 166,768 umkm yang terdapat di rekapitulasi data umkm kabupaten bangkalan pada dinas koperasi dan umkm bangkalan. dari sekian banyaknya umkm tersebut, masalah yang di hadapi adalah kurangnya media informasi secara detail terkait letak lokasi dan jenis-jenis produk umkm yang dihasilkan di setiap wilayah kepada masyarakat umum bangkalan maupun kepada masyarakat (asing) luar bangkalan. sehingga dibuatlah sebuah aplikasi web berbasis sistem informasi geografis pemetaan pada usaha mikro, kecil dan menengah (umkm) di bangkalan dengan menggunakan 15 data evaluator menunjukkan hasil nilai rata-rata berdasarkan nilai penggunaan sistem sebesar 86,25% dan berdasarkan nilai desain dan tampilan sistem sebesar 84,5% atau bisa dikatakan aplikasi sudah mencapai tujuan yang diharapkan."
"PENERAPAN METODE NAIVE BAYES UNTUK MENDIAGNOSA PENYAKIT GIGI DAN MULUT 

", AHMAD MUHTAR," Mula'ab, S.Si., M.Kom.","Wahyudi Agustiono, S.Kom., M.Sc., Ph.D. ","Kesehatan gigi dan mulut merupakan hal yang sangat penting bagi setiap orang. terkadang orang tidak terlalu memikirkan masalah terhadap kesehatan giginya sehingga secara tidak langsung mengalami sakit gigi atau terkena penyakit gigi dan mulut. dengan begitu penanganan dan perawatan yang tepat dapat membantu penyembuhan penyakit gigi lebih cepat, namun sebaliknya jika penanganannya tidak tepat maka kemungkinan menambah permasalahan pada kesehatan giginya, kemampuan analisa yang tepat dan akurat merupakan hal penting yang diperlukan dalam melakukan diagnosa penyakit. dalam hal ini, untuk mengatasi permasalahan tersebut salah satu solusinya adalah sistem pakar yang dapat mendiagnosa penyakit gigi dan mulut, agar dapat melakukan pencegahan lebih awal. sistem pakar tersebut mengadopsi pengetahuan para ahli dibidangnya. sistem pakar yang dibangun menggunakan metode naive bayes, metode ini sangat cocok dalam pengambilan keputusan untuk mendiagnosa penyakit gigi dan mulut karena menggunakan konsep yang sederhana dan mudah dipahami. sistem yang dibangun berbasis web untuk memudahkan dalam penggunaanya, sehingga dapat digunakan oleh masyarakat luas. pengujian sistem menggunakan 90 data dan dilakukan 3 uji coba atau skenario. dari hasil uji konsultasi dengan sistem ini menunjukkan bahwa sistem mampu menentukan penyakit dengan presentase tingkat akurasi keberhasil sebesar 70%.  "
Pengenalan Obyek Berbasis Deep Learning Dengan Menggunakan Convolutional Neural Network, Wirat Moko Hadi Sasmita," Dr. Arif Muntasa, S.Si,. M.T","Dr. Indah Agustien Siradjuddin, S.Kom., M.Kom","Bagi manusia, pengenalan obyek pada citra merupakan hal yang sangat mudah. akan tetapi, untuk pengenalan obyek citra menggunakan mesin, tidaklah mudah. mesin harus membaca setiap nilai pixel dari citra masukan dan menghasilkan sebuah nilai untuk menentukan kelas citra tersebut. penelitian ini menggunakan metode convolutional neural network (cnn) untuk pengenalan obyek pada citra. metode ini tidak memerlukan feature engineering. pada cnn terdapat beberapa layer seperti, convolution layer, pooling layer dan fully connected.  dataset yang digunakan untuk pelatihan adalah dataset citra cifar10. dataset cifar10 memiliki citra sebanyak 60000 terdiri dari 10 kelas. untuk mempermudah pembuatan aplikasi menggunakan framework deep learning theano. penelitian bertujuan untuk mengetahui dampak dari ukuran filter dan kedalaman layer pada cnn. hasil yang didapat pada penelitian ini adalah dengan ukuran filter lebih besar, dapat menambah tingkat akurasi. akurasi tertinggi untuk penelitian ini adalah 62.23%."
PENERAPAN METODE TOPSIS UNTUK PENENTUAN PEMBERIAN BANTUAN RESTRUKTURISASI MESIN ATAU ALAT KE INDUSTRI KECIL MENENGAH (IKM), Ainul Yaqin," Mula'ab, S.Si., M.Kom","Eza Rahmanita, S.T., M.T","Banyaknya jumlah ikm (industri kecil menengah) yang masuk kedalam data calon penerima bantuan restrukturisasi mesin di disperindag bangkalan menyebabkan adanya kesulitan dalam menentukan ikm yang tepat untuk penerimaan bantuan tersebut, dimana proses penyaluran yang dilakukan secara manualpun dirasa belum cukup efektif untuk diterapkan. oleh sebab itu, perlu adanya suatu metode yang dirancang kedalam sebuah sistem pendukung keputusan  yang dapat mencakup kriteria-kriteria penilaian serta mampu menyimpan data-data yang berkaitan dengan pemilihan industri kecil menengah (ikm) di bangkalan. dari sekian banyak metode yang dapat dilandaskan untuk sistem pendukung keputusan terdapat satu metode yang dianggap tepat, yakni metode topsis (technique for order reference by similarity to ideal solution). topsis memiliki konsep dimana alternatif (kandidat) yang terpilih merupakan alternatif terbaik yang memiliki jarak terpendek dari solusi ideal positif dan jarak terjauh dari solusi ideal negatif. hasil dari penentuan kriteria pemilihan didapatkan tujuh kriteria yang digunakan yaitu investasi, tenaga kerja, legalitas usaha, izin industri, sertifikat sni, partisipasi dan mesin.penerapan aplikasi ini diharapkan dapat memberikan kontribusi yang besar khususnya kepada pihak desperindag dalam sisi eferktifitas dan efisiensi waktu. "
PENERAPAN METODE CERTAINTY FACTOR UNTUK MENDIAGNOSA GEJALA PENYAKIT STROKE , Muhammad Nashruddin Fadli," Sigit Susanto Putro, S.Kom., M.Kom","Eza Rahmanita, S.T., M.T","Penyakit stroke merupakan penyakit mematikan di indonesia yang menempati urutan nomer tiga setelah jantung dan kanker. sesuai dengan pengamatan dan peninjauan yayasan stroke indonesia (yastroki) di rumah sakit maupun yang berada dalam masyarakat, terdapat kecenderungan meningkatnya jumlah penyandang stroke di indonesia. untuk mendukung para pakar dalam mendiagnosa penyakit stroke maka dibangunlah suatu sistem pakar. sistem ini dibangun menggunakan metode certainty factor, yaitu suatu metode untuk membuktikan apakah suatu fakta itu pasti ataukah tidak pasti yang berbentuk matrik yang biasanya digunakan dalam sistem pakar. hasil dari penelitian ini diharapkan dapat mendukung pakar dalam mendiagnosa penyakit stroke. dari penelitian ini telah dihasilkan sistem pakar untuk mendiagnosa penyakit stroke dan setelah dilakukan pengujian dengan 21 data pasien, diperoleh nilai akurasi sebesar 66,67%. "
PERANGKINGAN KELUARGA MISKIN MENGGUNAKAN METODE SMARTER , Dedi Adi Wijaya," Iwan Santoso,S.T., M.T","Mula'ab, S.Si., M.Kom","Dalam mengatasi permasalahan kemiskinan, kabupaten sampang  melaksanakan program gerakan bersama menuju sampang harmonis dan bermartabat di mana program ini merupakan komitmen antara bupati sampang dengan gubernur profinsi jawa timur yang di amanatkan dalam rencana pembangunan jangka menengah daerah kabupaten sampang dalam mengentaskan kemiskinan di sampang yang memiliki angka kamiskinan paling tinggi se-jawa timur[1]. karena tingginya kemiskinan tersebut di butukan sebuah sistem yang dapat merangking keluarga miskin, untuk itu dalam penelitian ini di bangun sebuah sistem pendukung keputusan dengan menggunakan metode simple multi-atribut ranting technique exploitng ranks  di mana metode tersebut merupakan bagian dari metode multiple criteria decision making.  hasil yang di peroleh sistem dapat merangking keluarga miskin dengan efisien (cepat dan mudah), yang kelayakannyadi ukur menggunakan metode descriptive statistical ."
Sistem Informasi Geografis Potensi Pertanian Kabupaten Sumenep, Moh. Ismail Hakim," Mula'ab, S.Si., M.Kom.","Eza Rahmanita,ST.,MT.","Sektor pertanian di kabupaten sumenep memiliki beragam jenis tanaman unggul seperti padi, jagung, kedelai, kacang tanah, ubi kayu dan berbagai jenis tanaman lainnya. namun pembangunan pertanian mengalami hambatan karena selain kesuburan tanah rendah sebagian pembangunan pertanian masih tradisional tanpa memperhatikan aspek kesesuaian lahan dan tanaman. analisa potensi lahan pertanian sangat diperlukan agar mendapatkan rekomendasi pemanfaatan lahan yang sesuai, sehingga pada akhirnya mendapatkan hasil panen yang maksimal. untuk mengatasi persoalan tersebut perlu dibuat suatu aplikasi yang dapat melakukan pemetaan terhadap daerah-daerah pertanian yang ada di kabupaten sumenep. salah satu metode yang digunakan pada permasalahan tersebut yaitu dengan menggunakan gis (geographical information system). penerapan aplikasi ini diharapkan dapat memberikan informasi bagi pengguna untuk mengetahui daerah-daerah pertanian yang ada di kabupaten sumenep. sehingga pengguna dapat menganalisis tanaman apa saja yang cocok untuk masing-masing daerah."
Rancang Bangun Sistem Informasi Geografis Lokasi Pariwisata di Kabupaten Sumenep Berbasis Android, Achmad Hidayat," Mula'ab, S.Si., M.Kom.","Achmad Jauhari, S.T., M.Kom.","Informasi terkait geografis dibutuhkan oleh banyak pihak, misalnya informasi jarak, lokasi, fasilitas yang dicari serta informasi lainnya. sistem informasi geografis (sig) merupakan salah satu solusi untuk mendapatkan informasi geografis suatu daerah. pariwisata di kabupaten sumenep merupakan obyek yang dijadikan bahan untuk penelitian skripsi ini dikarenakan kabupaten sumenep memiliki keanekaragaman tempat-tempat wisata bagi para wisatawan. untuk itulah dibuat sebuah sistem inforamasi pariwisata kabupaten sumenep berbasis android yang dapat mempermudah wisatawan dalam mencari informasi wisata yang ada di kabupaten sumenep. dengan menggunakan 10 data evaluator menunjukkan hasil nilai rata-rata berdasarkan nilai penggunaan sistem sebesar 85,83% dan berdasarkan nilai desain dan tampilan sistem sebesar 81,78% atau bisa dikatakan aplikasi sudah mencapai tujuan yang diharapkan.  kata kunci : sistem informasi geografis, mobile, android, , pariwisata"
PEMBANGKITAN 3D MAZE DINAMIS MENGGUNAKAN METODE HUNT AND KILL DALAM PEMBUATAN GAME AUGMENTED REALITY, ARYA PRAZA MUSABBIH, YONATHAN FERRY HENDRAWAN,EZA RAHMANITA,"Banyak aplikasi maze yang telah berada dipasaran saat ini. akan tetapi kebanyakan game maze tersebut menggunakan maze statis. hal ini menyebabkan setiap level memiliki tampilan atau solusi yang selalu sama sehingga mengakibatkan player cepat selesai dan akan cepat bosan. dengan menggunakan maze dinamis, tampilan dan solusi dari maze dengan ukuran dimensi yang sama akan selalu berubah – ubah setiap permainan dijalankan kembali sehingga level permainan yang sama selalu memiliki tampilan maze baru. untuk menambah daya tarik dari permainan maze dan memberi kesan bahwa player berada didalam maze, digunakan teknologi baru yaitu augmented reality.  pada penelitian ini, game maze ar dibuat menjadi dinamis dengan menggunakan generator maze metode hunt and kill. metode ini memiliki keunggulan dalam jumlah persentase dead ends yang kecil dan longest path yang tidak terlalu besar. oleh karena itu metode ini sangat cocok diterapkan dan dikombinasikan dengan teknologi augmented reality dimana player harus berjalan secara real di dunia nyata untuk menyelesaikan permainan.  pada hasil uji coba penelitian menunjukkan bahwa 77,44% responden puas terhadap kinerja game maze. pada penelitian ini juga telah berhasil dibuat bentuk maze yang dinamis berdasarkan  metode hunt and kill."
"Penggunaan Metode Kartesius Pada Google Maps API Untuk Merekomendasikan Pencarian Lokasi Kerajinan Batik Berbasis Android
(Studi Kasus Kabupaten Bangkalan)

", Dewi Arini Yuliarti," Achmad Jauhari, S.T., M.Kom.","Eza Rahmanita, S.T., M.T.","Smart city semakin marak diperbincangkan guna menjadi solusi dalam memecahkan permasalahan yang timbul akibat dari dinamika kota yang semakin maju dan modern. tujuan dari penerapan konsep smart city yakni untuk meningkatkan rasa aman, dan nyaman bagi warganya, membuat kota semakin efektif dan efisien serta meningkatkan daya saing dan pertumbuhan ekonomi serta pemerataan penghasilan. madura merupakan sebuah pulau yang terletak disebelah utara pulau jawa.  pulau yang dijuluki tanah garam ini cukup dikenal dalam bidang kesenian kerapan sapi dan kerajinan batik, khususnya di kabupaten bangkalan. kabupaten bangkalan merupakan kota berkembang yang tepat untuk penerapan konsep smart city. salah satu cara yang dapat dilakukan adalah memanfaatkan peluang kebutuhan pasar pecinta batik dengan memberikan kemudahan akses lokasi. memanfaatkan teknologi pencarian lokasi google maps dengan metode kartesius pada perangkat elektronik smartphone, konsumen akan dipermudah dalam hal pencarian informasi maupun lokasi pengrajin batik yang tersebar diseluruh wilayah kabupaten bangkalan. kata kunci : smart city,  batik, google maps, metode kartesius, smartphone android."
PEMBUATAN GAME EDUKASI MENGGUNAKAN SENSOR LEAP MOTION CONTROLLER SEBAGAI MEDIA PENGENALAN LAGU ANAK-ANAK, ILHAM ISKANDARIANSYAH," EZA RAHMANITA,S.T.,M.T.","MOCH. KAUTSAR SOPHAN, S.Kom.,M.MT.","Perkembangan  musik di indonesia semakin  pesat namun tidak pada kualitas musik, terlebih lagu anak-anak yang semakin menghilang. semakin banyak anak-anak yang mendengarkan lagu dewasa yang tidak patut di dengarkan di usianya. akibatnya, psikologi dan perilaku sosial anak-anak tidak sesuai dengan usianya. dalam hal ini teknologi dapat turut berperan mengenalkan kembali lagu anak-anak dengan lebih menyenangkan, interaktif, dan modern salah satunya dengan multimedia pembelajaran interaktif berupa game edukasi.   penelitian ini membangun game edukasi sebagai media pengenalan lagu anak-anak menggunakan leap motion controller dan unity3d. leap motion controller adalah alat sensor perangkat keras komputer yang mendukung gerakan tangan dan jari sebagai masukan.unity3d merupakan suatu aplikasi yang digunakan untuk mengembangkan game multiplatform yang didesain untuk mudah digunakan. pada game edukasi ini leap motion controller digunakan sebagai pengganti keyboard. user menggerakkan jari seakan-akan menekan keyboard virtual.   hasil kusioner dari pembuatan game edukasi ini didapatkan tingkat kepuasan yang positif pada user usia 8 sampai 9 tahun yaitu sebesar 85,9%. untuk tingkat kemanfaatan aplikasi game edukasi sebagai media pengenalan lagu anak-anak didapatkan dengan menggunakan indikator importance pada kusioner, dan didapat hasil terbaik untuk user usia 12 tahun. sedangkan uji performa leap motion controller terhadap aplikasi didapatkan hasil jarak jangkau deteksi tangan user yang ideal yaitu 25cm dengan sudut 90 derajat dengan kondisi pencahayaan yang gelap maupun terang. kata kunci :. leap motion controller, musik, multimedia interaktif, game, edukasi, unity3d."
PENERAPAN LEAP MOTION CONTROLLER PADA VIRTUAL REALITY ANATOMI ORGAN JANTUNG DAN PARU-PARU 3D, ghorapurla adi pradhana," Ari Kusumaningsih, S.T., M.T.","Moch. Kautsar Sophan, S.Kom., M.MT.","Abstrak  pembelajaran  anatomi menggunakan metode bermacam-macam, mulai dari membedah mayat  hingga teknik pencitraan medis termasuk x-ray, usg dan pencitraan resonansi magnetik. secara umum metode konvensional dalam mempelajari anatomi ialah membaca dan menghafal. metode belajar terkini menggunakan teknologi multimedia dengan memanfaatkan objek 3d. agar objek 3d dapat dieksplorasi secara interaktif maka digunakan sebuah sensor gerak. salah satu sensor gerak yang ada ialah leap motion controller. objek organ 3d yang dapat dieksplorasi menggunakan gesture tangan user sebagai input, merupakan metode pembelajaran yang sederhana namun mendekati nyata. hal ini merupakan nilai lebih dibanding  metode belajar konvensional dengan cara membaca dan menghafal. pada penelitian ini menerapkan pembelajaran modern menggunakan objek 3d terintegrasi leap motion controller dan ditampilkan dengan virtual reality yang dibangun menggunakan unity3d. pengembangan leap motion controller dan unity3d menghasilkan media belajar antomi jantung dan paru-paru pada manusia secara virtual yang interaktif. dari hasil uji performa, fitur pointing kerberhasilannya 100%. hasil pengujian user experience menunjukkan poin importance bernilai 88.23% , poin valence bernilai 94.11% , poin control bernilai  97.05% . kesimpulannya, materi yang disajikan tersampaikan, aplikasi menyenangkan dan tidak membosankan serta user bisa mengendalikan aplikasi dengan leluasa.  kata kunci :. leap motion controller, anatomi, organ, virtual reality, unity3d. "
PENERAPAN LOGIKA FUZZY METODE SUGENO UNTUK MENDIAGNOSA PENYAKIT DEMAM TYPHOID DAN DEMAM BERDARAH DENGUE, , ,,
IMPLEMENTASI ALGORITMA DECISION TREE C4.5 UNTUK DIAGNOSA PENYAKIT TUBERKULOSIS (TB), , ,,
SISTEM PAKAR DIAGNOSA PENYAKIT MATA KATARAK MENGGUNAKAN METODE FUZZY MAMDANI, , ,,
